DATE,USACPIALLAINMEI
1992,59.20109809
1993,60.94851143
1994,62.53770827
1995,64.29215345
1996,66.17668775
1997,67.72369352
1998,68.77495426
1999,70.27976896
2000,72.65301645
2001,74.70631502
2002,75.8911808
2003,77.61398268
2004,79.69189271
2005,82.39563688
2006,85.05367407
2007,87.47997682
2008,90.83842087
2009,90.51544826
2010,91.99994093
2011,94.90423331
2012,96.86812198
2013,98.28707786
2014,99.88151342
2015,100
2016,101.2615832
2017,103.4185663
2018,105.9446509
2019,107.8645906
2020,109.1951913
2021,114.3250273