County,guaranteed,excess,entitlement,population,entitlement_cap,guaranteed_capita,prop_Tax,income_per_capita
CUYAHOGA,"$61,404,121.00","$4,798,156.00","$66,202,277.00",1265172,$52.33,$48.53,3421,156.9686746
HAMILTON,"$44,978,273.00","$3,514,630.00","$48,492,903.00",830639,$58.38,$54.15,3023,105.4276563
FRANKLIN,"$41,432,469.00","$3,237,559.00","$44,670,028.00",1344785,$33.22,$30.81,3708,92.16596928
MONTGOMERY,"$22,906,470.00","$1,789,926.00","$24,696,396.00",532531,$46.38,$43.01,2762,112.7213796
SUMMIT,"$20,903,237.00","$1,633,392.00","$22,536,629.00",551395,$40.87,$37.91,2739,83.95706163
LUCAS,"$18,025,102.00","$1,408,493.00","$19,433,595.00",428505,$45.35,$42.07,2508,107.582971
STARK,"$14,536,124.00","$1,135,862.00","$15,671,986.00",383604,$40.85,$37.89,2060,82.14184159
BUTLER,"$11,800,925.00","$922,132.00","$12,723,057.00",372227,$34.18,$31.70,2743,49.94983975
LORAIN,"$10,352,695.00","$808,966.00","$11,161,661.00",307594,$36.29,$33.66,2687,85.35365124
MAHONING,"$9,760,618.00","$762,701.00","$10,523,319.00",226005,$46.56,$43.19,1827,89.43107453
LAKE,"$8,602,073.00","$672,171.00","$9,274,244.00",232791,$39.84,$36.95,3017,93.79852314
TRUMBULL,"$8,372,235.00","$654,212.00","$9,026,447.00",201640,$44.77,$41.52,1644,68.87067546
CLERMONT,"$6,175,577.00","$482,563.00","$6,658,140.00",208601,$31.92,$29.60,2722,49.74913351
PORTAGE,"$5,488,522.00","$428,877.00","$5,917,399.00",160104,$36.96,$34.28,2466,47.10057837
WARREN,"$5,460,510.00","$426,687.00","$5,887,197.00",240711,$24.46,$22.68,3657,44.0568898
GREENE,"$5,415,743.00","$423,190.00","$5,838,933.00",167966,$34.76,$32.24,3513,77.47836467
CLARK,"$5,350,115.00","$418,061.00","$5,768,176.00",136008,$42.41,$39.34,1771,64.4582451
MEDINA,"$5,205,017.00","$406,723.00","$5,611,740.00",182172,$30.80,$28.57,3117,97.09043102
LICKING,"$5,161,779.00","$403,345.00","$5,565,124.00",169830,$32.77,$30.39,2796,53.78997821
RICHLAND,"$4,871,320.00","$380,648.00","$5,251,968.00",112224,$46.80,$43.41,1750,122.2321607
WOOD,"$4,846,234.00","$378,688.00","$5,224,922.00",126163,$41.41,$38.41,2663,73.04124823
FAIRFIELD,"$4,452,240.00","$347,901.00","$4,800,141.00",160702,$29.87,$27.70,2729,47.77798036
WAYNE,"$4,156,935.00","$324,825.00","$4,481,760.00",116311,$38.53,$35.74,2229,69.12595541
ALLEN,"$4,082,788.00","$319,031.00","$4,401,819.00",106514,$41.33,$38.33,1576,44.42065832
COLUMBIANA,"$4,030,003.00","$314,907.00","$4,344,910.00",105523,$41.18,$38.19,1323,48.84445097
DELAWARE,"$3,925,918.00","$306,774.00","$4,232,692.00",191024,$22.16,$20.55,6125,55.67751173
GEAUGA,"$3,764,293.00","$294,144.00","$4,058,437.00",94958,$42.74,$39.64,4038,110.1391352
ASHTABULA,"$3,707,517.00","$289,707.00","$3,997,224.00",97574,$40.97,$38.00,1667,75.07792035
MIAMI,"$3,704,503.00","$289,472.00","$3,993,975.00",109959,$36.32,$33.69,1857,58.25875099
TUSCARAWAS,"$3,236,010.00","$252,864.00","$3,488,874.00",93256,$37.41,$34.70,1669,65.53330617
MUSKINGUM,"$3,103,084.00","$242,477.00","$3,345,561.00",86410,$38.72,$35.91,1379,69.89360028
ERIE,"$3,066,317.00","$239,604.00","$3,305,921.00",79147,$41.77,$38.74,2087,95.45548157
SCIOTO,"$2,927,892.00","$228,788.00","$3,156,680.00",74008,$42.65,$39.56,1230,57.55765593
HANCOCK,"$2,911,774.00","$227,528.00","$3,139,302.00",69590,$45.11,$41.84,1691,58.12694353
JEFFERSON,"$2,836,912.00","$221,679.00","$3,058,591.00",65249,$46.88,$43.48,1129,71.04919616
ROSS,"$2,668,150.00","$208,491.00","$2,876,641.00",77093,$37.31,$34.61,1446,64.90062652
BELMONT,"$2,634,159.00","$205,835.00","$2,839,994.00",66494,$42.71,$39.61,1248,66.0358679
MARION,"$2,406,888.00","$188,075.00","$2,594,963.00",64852,$40.01,$37.11,1328,40.05840992
WASHINGTON,"$2,314,637.00","$180,867.00","$2,495,504.00",61382,$40.66,$37.71,1417,47.98937799
LAWRENCE,"$2,294,517.00","$179,295.00","$2,473,812.00",58066,$42.60,$39.52,1006,41.29492302
SANDUSKY,"$2,290,976.00","$179,019.00","$2,469,995.00",53842,$45.87,$42.55,1547,64.97901267
SENECA,"$2,234,714.00","$174,621.00","$2,409,335.00",53313,$45.19,$41.92,1355,74.18357624
ATHENS,"$2,205,812.00","$172,363.00","$2,378,175.00",62431,$38.09,$35.33,1919,63.78509074
HURON,"$2,167,732.00","$169,388.00","$2,337,120.00",64841,$36.04,$33.43,1508,61.22205086
DARKE,"$1,980,550.00","$154,762.00","$2,135,312.00",38574,$55.36,$51.34,1381,66.5063255
KNOX,"$1,932,524.00","$151,009.00","$2,083,533.00",62249,$33.47,$31.05,1941,55.95826439
ASHLAND,"$1,914,847.00","$149,628.00","$2,064,475.00",33116,$62.34,$57.82,1605,82.15098442
PICKAWAY,"$1,868,230.00","$145,985.00","$2,014,215.00",58539,$34.41,$31.91,2081,34.27378329
SHELBY,"$1,760,293.00","$137,551.00","$1,897,844.00",24714,$76.79,$71.23,1694,75.11742332
CRAWFORD,"$1,760,097.00","$137,535.00","$1,897,632.00",37233,$50.97,$47.27,1320,55.31590256
AUGLAIZE,"$1,736,702.00","$135,707.00","$1,872,409.00",46161,$40.56,$37.62,1551,45.1264704
LOGAN,"$1,623,057.00","$126,827.00","$1,749,884.00",42758,$40.93,$37.96,1628,42.45163478
OTTAWA,"$1,534,357.00","$119,896.00","$1,654,253.00",40318,$41.03,$38.06,1837,85.2473337
FULTON,"$1,525,440.00","$119,199.00","$1,644,639.00",43303,$37.98,$35.23,1955,74.56303258
PREBLE,"$1,508,519.00","$117,877.00","$1,626,396.00",40604,$40.06,$37.15,1617,62.8396956
MERCER,"$1,501,043.00","$117,293.00","$1,618,336.00",43639,$37.08,$34.40,1897,47.24214579
GUERNSEY,"$1,460,645.00","$114,135.00","$1,574,780.00",38438,$40.97,$38.00,1348,62.68528539
DEFIANCE,"$1,455,525.00","$113,735.00","$1,569,260.00",38286,$40.99,$38.02,1609,57.90824322
MADISON,"$1,455,491.00","$113,733.00","$1,569,224.00",47218,$33.23,$30.82,2130,70.06181965
CLINTON,"$1,453,733.00","$113,596.00","$1,567,329.00",43397,$36.12,$33.50,1549,57.90646819
UNION,"$1,449,418.00","$113,258.00","$1,562,676.00",42845,$36.47,$33.83,3342,66.65701949
WILLIAMS,"$1,431,101.00","$111,827.00","$1,542,928.00",37102,$41.59,$38.57,1457,88.47442186
HIGHLAND,"$1,423,484.00","$111,232.00","$1,534,716.00",42139,$36.42,$33.78,1323,36.23913714
BROWN,"$1,421,822.00","$111,102.00","$1,532,924.00",43676,$35.10,$32.55,1328,55.27085814
COSHOCTON,"$1,354,860.00","$105,870.00","$1,460,730.00",33676,$43.38,$40.23,1219,53.77945718
CHAMPAIGN,"$1,353,981.00","$105,800.00","$1,459,781.00",38767,$37.66,$34.93,1739,63.70616762
HOLMES,"$1,331,450.00","$104,040.00","$1,435,490.00",44677,$32.13,$29.80,2595,47.98332475
PUTNAM,"$1,256,416.00","$98,177.00","$1,354,593.00",34378,$39.40,$36.55,1597,39.10791785
PERRY,"$1,217,950.00","$95,171.00","$1,313,121.00",35287,$37.21,$34.52,1351,67.11823051
JACKSON,"$1,182,572.00","$92,407.00","$1,274,979.00",32378,$39.38,$36.52,1214,41.79479894
GALLIA,"$1,158,598.00","$90,533.00","$1,249,131.00",29220,$42.75,$39.65,1228,76.04229979
HARDIN,"$1,145,440.00","$89,506.00","$1,234,946.00",34547,$35.75,$33.16,1309,53.57848728
MORROW,"$1,110,623.00","$86,785.00","$1,197,408.00",32719,$36.60,$33.94,1973,44.83404138
VAN WERT,"$1,110,182.00","$86,750.00","$1,196,932.00",24724,$48.41,$44.90,1211,50.05387478
HENRY,"$1,062,559.00","$83,029.00","$1,145,588.00",27488,$41.68,$38.66,1688,63.53332363
FAYETTE,"$1,034,928.00","$80,870.00","$1,115,798.00",14493,$76.99,$71.41,1377,75.72414269
CARROLL,"$1,022,316.00","$79,884.00","$1,102,200.00",21721,$50.74,$47.07,1535,38.17319645
HOCKING,"$999,137.00","$78,074.00","$1,077,211.00",26795,$40.20,$37.29,1535,40.33491323
ADAMS,"$989,791.00","$77,343.00","$1,067,134.00",27477,$38.84,$36.02,1200,53.20537177
PIKE,"$966,430.00","$75,518.00","$1,041,948.00",27088,$38.47,$35.68,1104,54.66904164
MEIGS,"$857,571.00","$67,011.00","$924,582.00",22210,$41.63,$38.61,1019,62.5770824
WYANDOT,"$835,840.00","$65,313.00","$901,153.00",22319,$40.38,$37.45,1208,72.02320893
PAULDING,"$732,819.00","$57,263.00","$790,082.00",18806,$42.01,$38.97,1287,77.16016165
HARRISON,"$657,358.00","$51,366.00","$708,724.00",16234,$43.66,$40.49,1061,91.14254035
MONROE,"$552,385.00","$43,164.00","$595,549.00",13385,$44.49,$41.27,977,43.65491222
MORGAN,"$523,299.00","$40,890.00","$564,189.00",13802,$40.88,$37.91,1031,67.01449065
NOBLE,"$466,961.00","$36,489.00","$503,450.00",7923,$63.54,$58.94,971,62.66489966
VINTON,"$437,873.00","$34,216.00","$472,089.00",12800,$36.88,$34.21,1180,52.28375